Codigo,Código Barra 1,Código Barra 2,Producto nombre 1,Producto nombre 2,precio por caja,precio por paquete,Categoria,creador
B50025,6972857500252,,定妆喷雾 makeup setting spray,Spray Fijador de Maquillaje,1300.000,1600.000,定妆喷雾,
B50023,6972857500238,,定妆喷雾 makeup setting spray,Spray Fijador de Maquillaje,1300.000,1600.000,定妆喷雾,
B50012,6971877500129,,哑光定妆喷雾
MATTE fix make up spray,Spray Fijador de Maquillaje Efecto Mate,1350.000,1650.000,定妆喷雾,
B10130,6972857101305,,定妆散粉                  loose Powder,Polvo Suelto,1350.000,1650.000,散粉,
B10122A,9728578101226,,定妆散粉                  loose Powder,Polvo Suelto,1250.000,1500.000,散粉,
B10112,6972857101121,,高光+腮红+眼影                    Highlighter+Blush+Eyeshadow,Mini Paleta 2en1 De Iluminador y Rubor,950.000,1150.000,高光腮红修容遮瑕,
B10131A,6972857101312,,高光+腮红+定妆散粉          HIGHLIGHTER +BLUSH+loose Powder,Mini Paleta 3en1 De Iluminador, Rubor y Polvo,1600.000,1950.000,高光腮红修容遮瑕,
B70090,6972857700904,,高光 腮红 遮瑕 修容 HIGHLIGHT,BLUSH,CONTOUR,CONCEALER,Mini Paleta 4en1 De Iluminador, Rubor, Contorno y Corrector,1500.000,1800.000,高光腮红修容遮瑕,
B80094,6972857800949,,变色亮晶晶唇油magic lip glitter oil,Aceite de Labios Mágico,950.000,1150.000,口红唇油口红水,
MC2605,6960200926057,,睫毛膏,Máscara de Pestañas,880.000,1100.000,,
MC2607,6943698126079,,睫毛膏,Máscara de Pestañas,800.000,1000.000,,
MC2450,6901026498311,,睫毛膏,Máscara de Pestañas,800.000,1000.000,,
MC2417,6971254631248,,睫毛膏,Máscara de Pestañas,900.000,1100.000,,
GB2610,6940857825255,,唇彩,Brillo De Labios,1000.000,1200.000,,
GB25116,6940857825255,,唇彩,Brillo De Labios,790.000,950.000,,
HD0005,6973100275699,,卸妆水,Removedor de Maquillaje,850.000,1050.000,,
HP0016,6973100276122,,卸妆水,Removedor de Maquillaje,850.000,1050.000,,
WB10403,6978534104034,,粉饼,Polvo Suelto,1200.000,1450.000,,
WB10404,6978534104041,,粉饼,Polvo Suelto,1200.000,1450.000,,
CO2620,6972393126206,,遮瑕棒,Corrector,950.000,1150.000,,
GB2582,6940857825255,,遮瑕棒,Corrector,950.000,1150.000,,
5119,6960037151196,,柔焦唇彩6色,Brillo Labial Efecto Suave  6 Colores,750.000,900.000,口红,
5151,6960037151516,,轻雾朱砂8色,Lapiz Labial  8 Colores,750.000,900.000,口红,
C3318,6960037133185,,柔光修颜棒6色,Corrector en Barra  6 Colores,900.000,1100.000,高光腮红修容遮瑕,
